Coeficiente,Pescoco,Biceps,Antebraco,Peito,Cintura,Quadris,Coxas,Panturrilha
0.339,35.6,33.3,27.7,92.5,69.3,83.3,50.0,33.3
0.340,35.6,33.3,27.7,92.6,69.4,83.4,50.1,33.3
0.341,35.7,33.4,27.8,92.7,69.6,83.6,50.2,33.4
0.342,35.7,33.4,27.8,92.9,69.7,83.7,50.2,33.4
0.343,35.8,33.5,27.8,93.0,69.8,83.8,50.3,33.5
0.344,35.8,33.5,27.9,93.2,69.9,83.9,50.4,33.5
0.345,35.9,33.6,27.9,93.3,70.0,84.1,50.4,33.6
0.346,35.9,33.6,28.0,93.5,70.1,84.2,50.5,33.6
0.347,36.0,33.7,28.0,93.6,70.2,84.3,50.6,33.7
0.348,36.0,33.7,28.0,93.8,70.3,84.5,50.7,33.7
0.349,36.1,33.8,28.1,93.9,70.4,84.6,50.7,33.8
0.350,36.1,33.8,28.1,94.1,70.5,84.7,50.8,33.8
0.351,36.2,33.9,28.2,94.2,70.6,84.8,50.9,33.9
0.352,36.2,33.9,28.2,94.4,70.7,85.0,50.9,33.9
0.353,36.2,34.0,28.2,94.5,70.8,85.1,51.0,34.0
0.354,36.3,34.0,28.3,94.7,71.0,85.2,51.1,34.0
0.355,36.3,34.1,28.3,94.8,71.1,85.3,51.1,34.1
0.356,36.4,34.1,28.4,94.9,71.2,85.5,51.2,34.1
0.357,36.4,34.2,28.4,95.1,71.3,85.6,51.3,34.2
0.358,36.5,34.2,28.4,95.2,71.4,85.7,51.3,34.2
0.359,36.5,34.3,28.5,95.4,71.5,85.9,51.4,34.3
0.360,36.6,34.3,28.5,95.5,71.6,86.0,51.5,34.3
0.361,36.6,34.3,28.5,95.7,71.7,86.1,51.5,34.3
0.362,36.7,34.4,28.6,95.8,71.8,86.2,51.6,34.4
0.363,36.7,34.4,28.6,96.0,71.9,86.4,51.7,34.4
0.364,36.8,34.5,28.7,96.3,72.1,86.6,51.8,34.5
0.365,36.9,34.6,28.8,96.4,72.2,86.7,51.9,34.6
0.366,36.9,34.6,28.8,96.5,72.3,86.8,52.0,34.6
0.367,37.0,34.7,28.8,96.7,72.4,87.0,52.1,34.7
0.368,37.0,34.7,28.9,96.8,72.5,87.1,52.1,34.7
0.369,37.1,34.8,28.9,96.9,72.6,87.2,52.2,34.8
0.370,37.1,34.8,29.0,97.1,72.7,87.3,52.3,34.8
